city,state,county_name,city_name
New York, New York,"Kings County, NY","New York, NY"
New York, New York,"Bronx County, NY","New York, NY"
New York, New York,"Richmond County, NY","New York, NY"
New York, New York,"Queens County, NY","New York, NY"
Los Angeles, California,"Los Angeles County, CA","Los Angeles, CA"
Chicago, Illinois,"Cook County, IL","Chicago, IL"
Chicago, Illinois,"DuPage County, IL","Chicago, IL"
Houston, Texas,"Harris County, TX ","Houston, TX"
Houston, Texas,"Fort Bend County, TX","Houston, TX"
Houston, Texas,"Montgomery County, TX","Houston, TX"
Phoenix, Arizona,"Maricopa County, AZ","Phoenix, AZ"
Philadelphia, Pennsylvania,"Philadelphia County, PA","Philadelphia, PA"
San Antonio, Texas,"Bexar County, TX","San Antonio, TX"
San Antonio, Texas,"Medina County, TX","San Antonio, TX"
San Antonio, Texas,"Comal County, TX","San Antonio, TX"
San Diego, California,"San Diego County, CA","San Diego, CA"
Dallas, Texas,"Dallas County, TX","Dallas, TX"
Dallas, Texas,"Collin County, TX","Dallas, TX"
Dallas, Texas,"Denton County, TX","Dallas, TX"
Dallas, Texas,"Rockwall County, TX","Dallas, TX"
Dallas, Texas,"Kaufman County, TX","Dallas, TX"
San Jose, California,"Santa Clara County, CA","San Jose, CA"
Austin, Texas,"Hays County, TX","Austin, TX"
Austin, Texas,"Travis County, TX","Austin, TX"
Austin, Texas,"Williamson County, TX","Austin, TX"
Jacksonville, Florida,"Duval County, FL","Jacksonville, FL"
Fort Worth, Texas,"Tarrant County, TX","Fort Worth, TX"
Fort Worth, Texas,"Denton County, TX","Fort Worth, TX"
Fort Worth, Texas,"Parker County, TX","Fort Worth, TX"
Fort Worth, Texas,"Wise County, TX","Fort Worth, TX"
Columbus, Ohio,"Delaware County, OH","Columbus, OH"
Columbus, Ohio,"Fairfield County, OH","Columbus, OH"
Columbus, Ohio,"Franklin County, OH","Columbus, OH"
Columbus, Ohio,"Pickaway County, OH","Columbus, OH"
San Francisco, California,"San Francisco County, CA","San Francisco, CA"
Charlotte, North Carolina,"Mecklenburg County, NC","Charlotte, NC"
Indianapolis, Indiana,"Marion County, IN","Indianapolis, IN"
Seattle, Washington,"King County, WA","Seattle, WA"
Denver, Colorado,"Denver County, CO","Denver, CO"
Washington, District of Columbia,"﻿District of Columbia, DC","Washington, DC"
